Categoria,Nome,Istruzione rapida,Spiegazione completa,Parole chiave,Link immagine,Fonte normativa
Segnali di precedenza,Confluenza a destra,Hai la precedenza sul traffico che si immette dalla corsia di accelerazione a destra.,Presegnala una confluenza sul lato destro: un'altra corrente di traffico si unisce alla tua carreggiata attraverso una corsia di accelerazione. Tu percorri la strada principale e hai la precedenza; chi si immette deve regolare la velocità e dare precedenza. Devi comunque controllare la zona di confluenza ed evitare manovre improvvise.,confluenza; destra; corsia di accelerazione; immissione; diritto di precedenza; autostrada; strada principale; traffico laterale,https://upload.wikimedia.org/wikipedia/commons/0/0c/Italian_traffic_signs_-_confluenza_dx.svg,https://www.patente.it/normativa/articolo-112-regolamento?idc=616
Segnali di precedenza,Confluenza a sinistra,Hai la precedenza sul traffico che si immette dalla corsia di accelerazione a sinistra.,Presegnala una confluenza sul lato sinistro: un'altra corrente di traffico si unisce alla tua carreggiata attraverso una corsia di accelerazione. Tu percorri la strada principale e hai la precedenza; chi si immette deve regolare la velocità e dare precedenza. Devi comunque controllare la zona di confluenza ed evitare manovre improvvise.,confluenza; sinistra; corsia di accelerazione; immissione; diritto di precedenza; autostrada; strada principale; traffico laterale,https://upload.wikimedia.org/wikipedia/commons/c/ce/Italian_traffic_signs_-_confluenza_sx.svg,https://www.patente.it/normativa/articolo-112-regolamento?idc=616
Segnali di precedenza,Diritto di precedenza,Hai la precedenza alle intersezioni finché questo diritto non termina.,"Indica l'inizio o la continuazione di un tratto di strada che gode del diritto di precedenza. Alle intersezioni, gli utenti delle strade subordinate devono normalmente dare precedenza o fermarsi. Il diritto continua fino al segnale Fine del diritto di precedenza o fino a una diversa regolazione. Devi comunque rispettare semafori, agenti del traffico e ogni altro segnale applicabile.",diritto di precedenza; strada prioritaria; strada principale; incrocio; intersezione; rombo giallo; fine precedenza,https://upload.wikimedia.org/wikipedia/commons/b/b8/Italian_traffic_signs_-_diritto_di_precedenza.svg,https://www.patente.it/normativa/articolo-113-regolamento?idc=617
Segnali di precedenza,Diritto di precedenza nei sensi unici alternati,Nella strettoia puoi passare prima dei veicoli provenienti in senso opposto.,"Si trova in prossimità di una strettoia regolata a senso unico alternato e indica che hai la precedenza sui veicoli provenienti dal senso opposto. Puoi impegnare per primo il tratto stretto, ma non devi forzare il passaggio se un altro veicolo è già entrato o se la situazione non consente di transitare in sicurezza.",strettoia; senso unico alternato; diritto di precedenza; traffico opposto; passare per primo; restringimento; frecce,https://upload.wikimedia.org/wikipedia/commons/3/33/Italian_traffic_signs_-_diritto_di_precedenza_nei_sensi_unici_alternati.svg,https://www.patente.it/normativa/articolo-114-regolamento?idc=618
Segnali di pericolo,Strada deformata,Rallenta: la pavimentazione è irregolare o in cattivo stato.,"Presegnala un tratto di strada con buche, ondulazioni o pavimentazione irregolare. Riduci la velocità, aumenta la distanza di sicurezza e tieni saldamente il volante, evitando frenate o sterzate brusche.",strada deformata; strada dissestata; buche; pavimentazione irregolare; fondo sconnesso; rallentare,https://upload.wikimedia.org/wikipedia/commons/e/eb/Italian_traffic_signs_-_strada_deformata_(figura_II_1).svg,https://www.patente.it/normativa/articolo-85-regolamento?idc=589
Segnali di pericolo,Dosso,Rallenta: il rialzo della strada può limitare la visibilità.,"Presegnala un'anomalia convessa della strada. Il dosso può nascondere veicoli, pedoni o ostacoli oltre il punto più alto, quindi devi moderare la velocità e mantenere la tua posizione sulla carreggiata.",dosso; rialzo; gobba; visibilità limitata; sommità; rallentare,https://upload.wikimedia.org/wikipedia/commons/4/42/Italian_traffic_signs_-_dosso.svg,https://www.patente.it/normativa/articolo-85-regolamento?idc=589
Segnali di pericolo,Cunetta,Rallenta: la strada presenta un avvallamento.,"Presegnala un'anomalia concava della strada, cioè un abbassamento seguito da una risalita. Procedi a velocità moderata perché il veicolo può perdere stabilità e nella cunetta può accumularsi acqua.",cunetta; avvallamento; depressione; acqua; fondo stradale; rallentare,https://upload.wikimedia.org/wikipedia/commons/8/83/Italian_traffic_signs_-_cunetta.svg,https://www.patente.it/normativa/articolo-85-regolamento?idc=589
Segnali di pericolo,Curva a destra,Rallenta prima della curva e mantieni la tua corsia.,"Presegnala una curva pericolosa verso destra, per il suo andamento o per la scarsa visibilità. Riduci la velocità prima di entrarvi, evita manovre brusche e non invadere la corsia opposta.",curva; destra; curva pericolosa; visibilità; rallentare; corsia,https://upload.wikimedia.org/wikipedia/commons/9/99/Italian_traffic_signs_-_curva_pericolosa_a_destra.svg,https://www.patente.it/normativa/articolo-86-regolamento?idc=590
Segnali di pericolo,Curva a sinistra,Rallenta prima della curva e mantieni la tua corsia.,"Presegnala una curva pericolosa verso sinistra, per il suo andamento o per la scarsa visibilità. Riduci la velocità prima di entrarvi, evita manovre brusche e non invadere la corsia opposta.",curva; sinistra; curva pericolosa; visibilità; rallentare; corsia,https://upload.wikimedia.org/wikipedia/commons/f/fa/Italian_traffic_signs_-_curva_pericolosa_a_sinistra.svg,https://www.patente.it/normativa/articolo-86-regolamento?idc=590
Segnali di pericolo,"Doppia curva, la prima a destra",Rallenta: iniziano due o più curve e la prima è a destra.,"Presegnala una successione di curve pericolose, con la prima verso destra. Mantieni una velocità prudente per tutto il tratto e presta attenzione perché l'andamento delle curve successive può non essere visibile.",doppia curva; prima a destra; curve successive; tornanti; rallentare; visibilità,https://upload.wikimedia.org/wikipedia/commons/1/1b/Italian_traffic_signs_-_doppia_curva_dx.svg,https://www.patente.it/normativa/articolo-86-regolamento?idc=590
Segnali di pericolo,"Doppia curva, la prima a sinistra",Rallenta: iniziano due o più curve e la prima è a sinistra.,"Presegnala una successione di curve pericolose, con la prima verso sinistra. Mantieni una velocità prudente per tutto il tratto e presta attenzione perché l'andamento delle curve successive può non essere visibile.",doppia curva; prima a sinistra; curve successive; tornanti; rallentare; visibilità,https://upload.wikimedia.org/wikipedia/commons/d/de/Italian_traffic_signs_-_doppia_curva_sx.svg,https://www.patente.it/normativa/articolo-86-regolamento?idc=590
Segnali di pericolo,Passaggio a livello con barriere,Rallenta e preparati a fermarti prima delle barriere.,"Presegnala un attraversamento ferroviario protetto da barriere o semibarriere. Avvicinati con prudenza e fermati quando le barriere si stanno abbassando, sono abbassate o quando funzionano le segnalazioni luminose o acustiche.",passaggio a livello; barriere; semibarriere; treno; ferrovia; binari; arresto,https://upload.wikimedia.org/wikipedia/commons/d/da/Italian_traffic_signs_-_passaggio_a_livello_con_barriere.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Passaggio a livello senza barriere,Rallenta molto e preparati a fermarti prima dei binari.,Presegnala un attraversamento ferroviario privo di barriere. Nelle immediate vicinanze trovi la Croce di Sant'Andrea; devi controllare attentamente entrambi i lati della ferrovia e non attraversare se sopraggiunge un treno.,passaggio a livello; senza barriere; treno; ferrovia; binari; croce di Sant'Andrea; arresto,https://upload.wikimedia.org/wikipedia/commons/d/d1/Italian_traffic_signs_-_passaggio_a_livello_senza_barriere.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Croce di Sant'Andrea (orizzontale),Fermati alla linea e controlla: il passaggio a livello ha un solo binario.,"È posta nelle immediate vicinanze di un passaggio a livello senza barriere. Indica normalmente un solo binario e l'obbligo di fermarsi in corrispondenza della striscia di arresto, verificando che non arrivino treni prima di attraversare.",croce di Sant'Andrea; un binario; passaggio a livello; ferrovia; treno; fermarsi; orizzontale,https://upload.wikimedia.org/wikipedia/commons/9/9a/Italian_traffic_signs_-_croce_di_S.Andrea.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Doppia Croce di Sant'Andrea (orizzontale),Fermati e controlla: il passaggio a livello ha due o più binari.,"È posta presso un passaggio a livello senza barriere e segnala la presenza di due o più binari. Devi fermarti alla striscia di arresto e controllare con particolare attenzione, perché dopo il passaggio di un treno potrebbe arrivarne un altro.",doppia croce di Sant'Andrea; più binari; due binari; ferrovia; treno; fermarsi; orizzontale,https://upload.wikimedia.org/wikipedia/commons/a/a8/Italian_traffic_signs_-_Doppia_croce_di_Sant'Andrea.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Croce di Sant'Andrea (verticale),Ha lo stesso significato della Croce di Sant'Andrea orizzontale.,"È la versione verticale della Croce di Sant'Andrea, usata quando manca lo spazio per quella orizzontale. Indica normalmente un solo binario presso un passaggio a livello senza barriere e richiede l'arresto alla striscia.",croce di Sant'Andrea; verticale; un binario; passaggio a livello; ferrovia; treno; fermarsi,https://upload.wikimedia.org/wikipedia/commons/6/6d/Italian_traffic_signs_-_Croce_di_Sant'Andrea_verticale.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Doppia Croce di Sant'Andrea (verticale),Ha lo stesso significato della Doppia Croce orizzontale.,"È la versione verticale della Doppia Croce di Sant'Andrea, usata quando manca spazio. Segnala due o più binari presso un passaggio a livello senza barriere e richiede di fermarsi e controllare attentamente.",doppia croce di Sant'Andrea; verticale; più binari; passaggio a livello; ferrovia; fermarsi,https://upload.wikimedia.org/wikipedia/commons/9/99/Italian_traffic_signs_-_Doppia_croce_di_Sant'Andrea_verticale.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Pannello distanziometrico a 150 m,"Tre barre: sei al primo avviso, normalmente a circa 150 metri dai binari.",È il primo dei tre pannelli che indicano l'avvicinamento a un passaggio a livello. Le tre barre rosse segnalano la distanza maggiore; rallenta e preparati progressivamente al possibile arresto.,pannello distanziometrico; tre barre; 150 metri; passaggio a livello; ferrovia; distanza,https://upload.wikimedia.org/wikipedia/commons/e/e1/Italian_traffic_signs_-_pannello_distanziometrico_150.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Pannello distanziometrico a 100 m,Due barre: il passaggio a livello è più vicino.,È il secondo pannello di avvicinamento al passaggio a livello. Le due barre rosse indicano che hai percorso circa un terzo della distanza dal primo segnale e devi continuare a ridurre la velocità.,pannello distanziometrico; due barre; 100 metri; passaggio a livello; ferrovia; distanza,https://upload.wikimedia.org/wikipedia/commons/2/20/Italian_traffic_signs_-_pannello_distanziometrico_100.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Pannello distanziometrico a 50 m,Una barra: il passaggio a livello è ormai vicino.,"È l'ultimo pannello prima del passaggio a livello. La singola barra rossa indica la distanza minore; devi essere pronto a fermarti e a rispettare barriere, luci, segnali acustici o Croce di Sant'Andrea.",pannello distanziometrico; una barra; 50 metri; passaggio a livello; ferrovia; distanza,https://upload.wikimedia.org/wikipedia/commons/e/ec/Italian_traffic_signs_-_pannello_distanziometrico_50.svg,https://www.patente.it/normativa/articolo-87-regolamento?idc=591
Segnali di pericolo,Attraversamento tranviario,Rallenta e presta attenzione ai tram e ai binari sulla carreggiata.,"Presegnala una linea tranviaria non regolata da semaforo che attraversa, interferisce con o riduce la parte di carreggiata destinata ai veicoli. Controlla l'arrivo dei tram e attraversa i binari con prudenza.",tram; tranvia; attraversamento tranviario; rotaie; binari; trasporto pubblico; rallentare,https://upload.wikimedia.org/wikipedia/commons/2/21/Italian_traffic_signs_-_attraversamento_tramviario.svg,https://www.patente.it/normativa/articolo-88-regolamento?idc=592
Segnali di pericolo,Attraversamento pedonale,Rallenta e preparati a fermarti per i pedoni.,"Presegnala un attraversamento pedonale contraddistinto dalle strisce sulla carreggiata. Devi moderare la velocità, controllare entrambi i lati della strada e consentire ai pedoni di attraversare in sicurezza.",pedoni; attraversamento pedonale; strisce pedonali; zebre; persone; fermarsi; rallentare,https://upload.wikimedia.org/wikipedia/commons/5/5e/Italian_traffic_signs_-_attraversamento_pericoloso.svg,https://www.patente.it/normativa/articolo-88-regolamento?idc=592
Segnali di pericolo,Attraversamento ciclabile,Rallenta e preparati a fermarti per i ciclisti.,Presegnala un attraversamento ciclabile contraddistinto dalla segnaletica sulla carreggiata. Devi moderare la velocità e controllare l'arrivo di biciclette e altri velocipedi da entrambi i lati.,bicicletta; bici; ciclisti; velocipedi; attraversamento ciclabile; pista ciclabile; rallentare,https://upload.wikimedia.org/wikipedia/commons/d/db/Italian_traffic_signs_-_attraversamento_ciclabile.svg,https://www.patente.it/normativa/articolo-88-regolamento?idc=592
Segnali di pericolo,Discesa pericolosa,Riduci la velocità e usa una marcia bassa per controllare il veicolo.,"Presegnala una discesa con pendenza pericolosa, indicata in percentuale. Mantieni una velocità contenuta, aumenta la distanza di sicurezza e usa il freno motore per evitare il surriscaldamento dei freni.",discesa; pendenza; percentuale; marcia bassa; freno motore; freni; rallentare,https://upload.wikimedia.org/wikipedia/commons/d/df/Italian_traffic_signs_-_discesa_pericolosa.svg,https://www.patente.it/normativa/articolo-89-regolamento?idc=593
Segnali di pericolo,Salita ripida,Scegli una marcia adatta e mantieni una velocità regolare.,"Presegnala una salita con pendenza elevata, indicata in percentuale. Seleziona per tempo una marcia adeguata e considera che i veicoli pesanti o lenti possono procedere a velocità molto ridotta.",salita; salita ripida; pendenza; percentuale; marcia; veicoli lenti; autocarri,https://upload.wikimedia.org/wikipedia/commons/7/7b/Italian_traffic_signs_-_salita_ripida.svg,https://www.patente.it/normativa/articolo-89-regolamento?idc=593
Segnali di pericolo,Strettoia simmetrica,Rallenta: la carreggiata si restringe da entrambi i lati.,"Presegnala un restringimento simmetrico della carreggiata. Riduci la velocità, mantieni una posizione corretta e preparati a coordinare il passaggio con i veicoli provenienti in senso opposto.",strettoia; restringimento; entrambi i lati; carreggiata stretta; traffico opposto; rallentare,https://upload.wikimedia.org/wikipedia/commons/e/e0/Italian_traffic_signs_-_strettoia_simmetrica.svg,https://www.patente.it/normativa/articolo-90-regolamento?idc=594
Segnali di pericolo,Strettoia asimmetrica a sinistra,Rallenta: la carreggiata si restringe sul lato sinistro.,Presegnala un restringimento che interessa il lato sinistro della carreggiata. Adatta la velocità e la posizione del veicolo senza spostarti improvvisamente verso il centro o verso il traffico opposto.,strettoia; restringimento a sinistra; lato sinistro; carreggiata stretta; traffico opposto,https://upload.wikimedia.org/wikipedia/commons/2/28/Italian_traffic_signs_-_strettoia_asimmetrica_a_sinistra.svg,https://www.patente.it/normativa/articolo-90-regolamento?idc=594
Segnali di pericolo,Strettoia asimmetrica a destra,Rallenta: la carreggiata si restringe sul lato destro.,Presegnala un restringimento che interessa il lato destro della carreggiata. Adatta la velocità e la posizione del veicolo senza sterzare bruscamente o invadere lo spazio degli altri utenti.,strettoia; restringimento a destra; lato destro; carreggiata stretta; traffico opposto,https://upload.wikimedia.org/wikipedia/commons/f/f6/Italian_traffic_signs_-_strettoia_asimmetrica_a_destra.svg,https://www.patente.it/normativa/articolo-90-regolamento?idc=594
Segnali di pericolo,Ponte mobile,Rallenta e preparati a fermarti: il ponte può aprirsi.,"Presegnala un ponte o un'altra struttura stradale mobile. Possono esserci barriere, semafori o segnali acustici; devi fermarti quando la struttura è in movimento o il transito è chiuso.",ponte mobile; ponte levatoio; barriere; acqua; semaforo; fermarsi,https://upload.wikimedia.org/wikipedia/commons/a/ad/Italian_traffic_signs_-_ponte_mobile.svg,https://www.patente.it/normativa/articolo-91-regolamento?idc=595
Segnali di pericolo,Banchina pericolosa,Evita di accostarti sulla banchina: può essere cedevole o impraticabile.,"Presegnala una banchina instabile, non praticabile o affiancata da una cunetta profonda o da un fosso. Mantieni il veicolo sulla carreggiata e presta particolare attenzione durante incroci, soste di emergenza o manovre laterali.",banchina; bordo strada; cedevole; fosso; cunetta profonda; accostare; caduta,https://upload.wikimedia.org/wikipedia/commons/f/f9/Italian_traffic_signs_-_banchina_pericolosa.svg,https://www.patente.it/normativa/articolo-92-regolamento?idc=596
Segnali di pericolo,Strada sdrucciolevole,Riduci la velocità ed evita frenate o sterzate brusche.,"Presegnala un tratto che può essere più scivoloso del normale, spesso per pioggia, ghiaccio o altre cause indicate da un pannello. Aumenta la distanza di sicurezza e usa comandi dolci.",strada sdrucciolevole; scivolosa; pioggia; ghiaccio; gelo; aderenza; frenata; rallentare,https://upload.wikimedia.org/wikipedia/commons/e/e4/Italian_traffic_signs_-_strada_sdrucciolevole.svg,https://www.patente.it/normativa/articolo-93-regolamento?idc=597
Segnali di pericolo,Bambini,Rallenta e preparati a fermarti: possono comparire bambini.,"Presegnala luoghi frequentati da bambini, come scuole, giardini pubblici o campi da gioco. Procedi a velocità molto prudente perché i bambini possono entrare improvvisamente sulla carreggiata.",bambini; scuola; parco giochi; giardino pubblico; pedoni; attraversamento; rallentare,https://upload.wikimedia.org/wikipedia/commons/a/a0/Italian_traffic_signs_-_bambini.svg,https://www.patente.it/normativa/articolo-94-regolamento?idc=598
Segnali di pericolo,Animali domestici,Rallenta: animali domestici possono attraversare la strada.,Presegnala un tratto dove è probabile l'attraversamento di animali domestici o da allevamento. Riduci la velocità e non usare il clacson in modo da spaventarli o renderli imprevedibili.,animali domestici; mucche; bovini; gregge; pecore; allevamento; attraversamento; rallentare,https://upload.wikimedia.org/wikipedia/commons/c/c2/Italian_traffic_signs_-_animali_domestici_vaganti.svg,https://www.patente.it/normativa/articolo-95-regolamento?idc=599
Segnali di pericolo,Animali selvatici,Rallenta: animali selvatici possono attraversare improvvisamente.,"Presegnala un tratto dove è probabile l'attraversamento di fauna selvatica. Procedi con prudenza, soprattutto di notte, e preparati a fermarti senza effettuare manovre brusche.",animali selvatici; cervi; caprioli; fauna; bosco; attraversamento; notte; rallentare,https://upload.wikimedia.org/wikipedia/commons/9/99/Italian_traffic_signs_-_animali_selvatici_vaganti.svg,https://www.patente.it/normativa/articolo-95-regolamento?idc=599
Segnali di pericolo,Doppio senso di circolazione,Da qui puoi incontrare veicoli provenienti in senso opposto.,Presegnala l'inizio di un tratto a doppio senso dopo un tratto a senso unico. Devi mantenerti sulla destra e considerare la presenza di traffico opposto sulla stessa carreggiata.,doppio senso; traffico opposto; senso unico; carreggiata; veicoli di fronte; tenere la destra,https://upload.wikimedia.org/wikipedia/commons/8/81/Italian_traffic_signs_-_doppio_senso_di_circolazione_(figura_II_26).svg,https://www.patente.it/normativa/articolo-96-regolamento?idc=600
Segnali di pericolo,Circolazione rotatoria,Rallenta: più avanti trovi un'intersezione regolata a rotatoria.,"Presegnala una rotatoria, soprattutto sulle strade extraurbane. Riduci la velocità e osserva i segnali presenti all'ingresso, perché il diritto di precedenza dipende dalla segnaletica installata.",rotatoria; rotonda; circolazione rotatoria; incrocio; intersezione; precedenza; rallentare,https://upload.wikimedia.org/wikipedia/commons/c/c3/Italian_traffic_signs_-_circolazione_rotatoria.svg,https://www.patente.it/normativa/articolo-96-regolamento?idc=600
Segnali di pericolo,Sbocco su molo o su argine,Rallenta: la strada termina o prosegue verso l'acqua.,"Presegnala che la strada sbocca su un molo, sull'argine di un fiume o di un canale, con pericolo di caduta in acqua. Procedi lentamente e controlla con attenzione la direzione della strada.",molo; argine; acqua; fiume; canale; caduta in acqua; fine strada; rallentare,https://upload.wikimedia.org/wikipedia/commons/3/3c/Italian_traffic_signs_-_sbocco_su_molo.svg,https://www.patente.it/normativa/articolo-97-regolamento?idc=601
Segnali di pericolo,Materiale instabile sulla strada,Rallenta e aumenta la distanza: ghiaia o pietrisco possono ridurre l'aderenza.,"Presegnala ghiaia, pietrisco o altro materiale instabile sulla pavimentazione. Il materiale può diminuire l'aderenza o essere proiettato dalle ruote, quindi evita brusche manovre e mantieni maggiore distanza.",materiale instabile; ghiaia; pietrisco; brecciolino; sassi; aderenza; distanza di sicurezza,https://upload.wikimedia.org/wikipedia/commons/d/d4/Italian_traffic_signs_-_materiale_instabile.svg,https://www.patente.it/normativa/articolo-98-regolamento?idc=602
Segnali di pericolo,Caduta massi da sinistra,Rallenta: massi possono cadere da sinistra o trovarsi sulla strada.,"Presegnala un tratto con pericolo di caduta di pietre e massi dalla pendice posta a sinistra. Controlla anche la carreggiata, perché il materiale può essere già presente, ed evita soste non necessarie.",caduta massi; rocce; pietre; montagna; pendice a sinistra; frana; carreggiata,https://upload.wikimedia.org/wikipedia/commons/1/11/Italian_traffic_signs_-_caduta_massi_da_sinistra.svg,https://www.patente.it/normativa/articolo-98-regolamento?idc=602
Segnali di pericolo,Caduta massi da destra,Rallenta: massi possono cadere da destra o trovarsi sulla strada.,"Presegnala un tratto con pericolo di caduta di pietre e massi dalla pendice posta a destra. Controlla anche la carreggiata, perché il materiale può essere già presente, ed evita soste non necessarie.",caduta massi; rocce; pietre; montagna; pendice a destra; frana; carreggiata,https://upload.wikimedia.org/wikipedia/commons/9/95/Italian_traffic_signs_-_caduta_massi_da_destra.svg,https://www.patente.it/normativa/articolo-98-regolamento?idc=602
Segnali di pericolo,Semaforo (verticale),Rallenta: più avanti trovi un semaforo con luci disposte verticalmente.,"Presegnala un impianto semaforico, con le luci rosso, giallo e verde disposte verticalmente. È particolarmente importante dove il semaforo non è visibile da lontano; preparati a fermarti.",semaforo; luci verticali; rosso; giallo; verde; impianto semaforico; fermarsi,https://upload.wikimedia.org/wikipedia/commons/6/62/Italian_traffic_signs_-_semaforo_verticale.svg,https://www.patente.it/normativa/articolo-99-regolamento?idc=603
